"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"Unalloc_8_6160384_101773312"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"93245440"	"0"	"null"	"unknown"	"r---------"	"/img_USB_Evidence.E01/vol_vol2/$Unalloc/Unalloc_8_6160384_101773312"
"Unalloc_3_0_65536"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"65536"	"0"	"null"	"unknown"	"r---------"	"/img_USB_Evidence.E01/vol_vol1/Unalloc_3_0_65536"
"Unalloc_7_101777408_104857600"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"3080192"	"0"	"null"	"unknown"	"r---------"	"/img_USB_Evidence.E01/vol_vol3/Unalloc_7_101777408_104857600"
"$AttrDef"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2560"	"4"	"ad617ac3906958de35eacc3d90d31043"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$AttrDef"
"$AttrDef-slack"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"1536"	"4"	"null"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$AttrDef-slack"
"$BadClus"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"0"	"8"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$BadClus"
"$BadClus:$Bad"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"101707776"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$BadClus:$Bad"
"$BadClus:$Bad-slack"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"101707776"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$BadClus:$Bad-slack"
"$Bitmap"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"3104"	"6"	"d7f778ad9dac2ed208ffc45049852418"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$Bitmap"
"$Bitmap-slack"	""	"r"	""	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"2025-12-02 18:39:01 IST"	"992"	"6"	"null"	"unknown"	"rr-xr-xr-x"	"/img_USB_Evidence.E01/vol_vol2/$Bitmap-slack"
